"id" "var" "value"
"1" 112001 "Farmers" 5
"2" 112003 "Farmers" 5
"3" 112004 "Farmers" 5
"4" 112006 "Farmers" 5
"5" 112007 "Farmers" 5
"6" 112008 "Farmers" 5
"7" 112009 "Farmers" 5
"8" 112010 "Farmers" 5
"9" 112011 "Farmers" 4
"10" 112012 "Farmers" 2
"11" 112013 "Farmers" 2
"12" 112014 "Farmers" 2
"13" 112015 "Farmers" 3
"14" 112016 "Farmers" 2
"15" 112017 "Farmers" 2
"16" 112018 "Farmers" 2
"17" 112020 "Farmers" 5
"18" 112023 "Farmers" 3
"19" 112025 "Farmers" 5
"20" 112027 "Farmers" 5
"21" 112028 "Farmers" 5
"22" 112029 "Farmers" 2
"23" 112030 "Farmers" 2
"24" 112031 "Farmers" 2
"25" 112032 "Farmers" 5
"26" 112034 "Farmers" 5
"27" 112035 "Farmers" 5
"28" 112036 "Farmers" 5
"29" 112037 "Farmers" 5
"30" 112038 "Farmers" 5
"31" 112039 "Farmers" 5
"32" 112100 "Farmers" 5
"33" 112101 "Farmers" 5
"34" 112102 "Farmers" 5
"35" 112103 "Farmers" 5
"36" 112104 "Farmers" 5
"37" 112105 "Farmers" 5
"38" 112106 "Farmers" 5
"39" 112107 "Farmers" 5
"40" 112108 "Farmers" 5
"41" 112109 "Farmers" 5
"42" 112110 "Farmers" 5
"43" 112112 "Farmers" 5
"44" 112113 "Farmers" 5
"45" 112114 "Farmers" 5
"46" 112116 "Farmers" 5
"47" 112117 "Farmers" 5
"48" 112122 "Farmers" 5
"49" 112125 "Farmers" 5
"50" 112126 "Farmers" 1
"51" 112129 "Farmers" 2
"52" 112130 "Farmers" 5
"53" 112131 "Farmers" 2
"54" 112132 "Farmers" 2
"55" 112133 "Farmers" 5
"56" 112134 "Farmers" 3
"57" 112135 "Farmers" 5
"58" 112136 "Farmers" 3
"59" 112137 "Farmers" 5
"60" 112138 "Farmers" 5
"61" 112139 "Farmers" 5
"62" 112140 "Farmers" 5
"63" 112141 "Farmers" 2
"64" 112142 "Farmers" 5
"65" 112143 "Farmers" 5
"66" 112144 "Farmers" 5
"67" 112145 "Farmers" 5
"68" 112146 "Farmers" 2
"69" 112147 "Farmers" 5
"70" 112149 "Farmers" 5
"71" 112150 "Farmers" 4
"72" 112151 "Farmers" 5
"73" 112152 "Farmers" 5
"74" 112153 "Farmers" 5
"75" 112154 "Farmers" 3
"76" 112155 "Farmers" 5
"77" 112156 "Farmers" 5
"78" 112158 "Farmers" 5
"79" 112159 "Farmers" 5
"80" 112160 "Farmers" 4
"81" 112200 "Farmers" 4
"82" 112001 "Neighbor/friend" 5
"83" 112003 "Neighbor/friend" 2
"84" 112004 "Neighbor/friend" 2
"85" 112006 "Neighbor/friend" 5
"86" 112007 "Neighbor/friend" 5
"87" 112008 "Neighbor/friend" 4
"88" 112009 "Neighbor/friend" 5
"89" 112010 "Neighbor/friend" 5
"90" 112011 "Neighbor/friend" 4
"91" 112012 "Neighbor/friend" 2
"92" 112013 "Neighbor/friend" 4
"93" 112014 "Neighbor/friend" 2
"94" 112015 "Neighbor/friend" 2
"95" 112016 "Neighbor/friend" 2
"96" 112017 "Neighbor/friend" 2
"97" 112018 "Neighbor/friend" 2
"98" 112020 "Neighbor/friend" 5
"99" 112023 "Neighbor/friend" 5
"100" 112024 "Neighbor/friend" 5
"101" 112025 "Neighbor/friend" 2
"102" 112027 "Neighbor/friend" 5
"103" 112029 "Neighbor/friend" 2
"104" 112030 "Neighbor/friend" 5
"105" 112031 "Neighbor/friend" 2
"106" 112032 "Neighbor/friend" 5
"107" 112033 "Neighbor/friend" 2
"108" 112034 "Neighbor/friend" 5
"109" 112035 "Neighbor/friend" 5
"110" 112036 "Neighbor/friend" 5
"111" 112037 "Neighbor/friend" 5
"112" 112038 "Neighbor/friend" 5
"113" 112039 "Neighbor/friend" 5
"114" 112100 "Neighbor/friend" 5
"115" 112101 "Neighbor/friend" 5
"116" 112102 "Neighbor/friend" 5
"117" 112103 "Neighbor/friend" 5
"118" 112104 "Neighbor/friend" 5
"119" 112105 "Neighbor/friend" 5
"120" 112106 "Neighbor/friend" 2
"121" 112107 "Neighbor/friend" 5
"122" 112108 "Neighbor/friend" 5
"123" 112109 "Neighbor/friend" 5
"124" 112110 "Neighbor/friend" 5
"125" 112113 "Neighbor/friend" 5
"126" 112116 "Neighbor/friend" 2
"127" 112117 "Neighbor/friend" 2
"128" 112126 "Neighbor/friend" 5
"129" 112128 "Neighbor/friend" 3
"130" 112132 "Neighbor/friend" 2
"131" 112133 "Neighbor/friend" 2
"132" 112134 "Neighbor/friend" 2
"133" 112135 "Neighbor/friend" 5
"134" 112136 "Neighbor/friend" 2
"135" 112137 "Neighbor/friend" 2
"136" 112138 "Neighbor/friend" 2
"137" 112139 "Neighbor/friend" 2
"138" 112140 "Neighbor/friend" 5
"139" 112141 "Neighbor/friend" 5
"140" 112143 "Neighbor/friend" 5
"141" 112144 "Neighbor/friend" 5
"142" 112145 "Neighbor/friend" 5
"143" 112146 "Neighbor/friend" 4
"144" 112147 "Neighbor/friend" 5
"145" 112149 "Neighbor/friend" 5
"146" 112150 "Neighbor/friend" 5
"147" 112151 "Neighbor/friend" 5
"148" 112152 "Neighbor/friend" 5
"149" 112153 "Neighbor/friend" 5
"150" 112154 "Neighbor/friend" 2
"151" 112155 "Neighbor/friend" 2
"152" 112156 "Neighbor/friend" 5
"153" 112200 "Neighbor/friend" 5
"154" 112003 "Weekly market vendor" 5
"155" 112004 "Weekly market vendor" 5
"156" 112005 "Weekly market vendor" 5
"157" 112006 "Weekly market vendor" 5
"158" 112007 "Weekly market vendor" 5
"159" 112008 "Weekly market vendor" 5
"160" 112009 "Weekly market vendor" 5
"161" 112010 "Weekly market vendor" 3
"162" 112011 "Weekly market vendor" 2
"163" 112013 "Weekly market vendor" 2
"164" 112014 "Weekly market vendor" 2
"165" 112015 "Weekly market vendor" 2
"166" 112016 "Weekly market vendor" 2
"167" 112017 "Weekly market vendor" 2
"168" 112018 "Weekly market vendor" 1
"169" 112019 "Weekly market vendor" 2
"170" 112025 "Weekly market vendor" 2
"171" 112027 "Weekly market vendor" 2
"172" 112030 "Weekly market vendor" 4
"173" 112036 "Weekly market vendor" 5
"174" 112039 "Weekly market vendor" 4
"175" 112100 "Weekly market vendor" 5
"176" 112101 "Weekly market vendor" 3
