"id" "var" "value"
"1" "Chief" "Farmers" 5
"2" "Farmers" "Farmers" 5
"3" "Neighbor/friend" "Farmers" 5
"4" "Weekly market vendor" "Farmers" 2
"5" "Urban vendor" "Farmers" 2
"6" "Vendor in agro-vet shop" "Farmers" 5
"7" "Teacher" "Farmers" 3
"8" "Religious leader" "Farmers" 5
"9" "Extension agent" "Farmers" 5
"10" "NGO agent" "Farmers" 5
"11" "Vet service provider" "Farmers" 5
"12" "Gvt parastatal" "Farmers" 5
"13" "Ag researcher" "Farmers" 5
"14" "Microfinance rep" "Farmers" 5
"15" "Tractor owner" "Farmers" 2
"16" "Farmer org. leader" "Farmers" 3
"17" "Women's org. leader" "Farmers" 5
"18" "Youth org. leader" "Farmers" 5
"19" "Local politican" "Farmers" 3
"20" "Other" "Farmers" 5
"21" "Vet service provider" "Neighbor/friend" 5
"22" "Other" "Neighbor/friend" 5
"23" "Chief" "Weekly market vendor" 5
"24" "Farmers" "Weekly market vendor" 5
"25" "Neighbor/friend" "Weekly market vendor" 5
"26" "Weekly market vendor" "Weekly market vendor" 5
"27" "Urban vendor" "Weekly market vendor" 5
"28" "Vendor in agro-vet shop" "Weekly market vendor" 2
"29" "Teacher" "Weekly market vendor" 1
"30" "Vet service provider" "Weekly market vendor" 5
"31" "Gvt parastatal" "Weekly market vendor" 5
"32" "Ag researcher" "Weekly market vendor" 5
"33" "Tractor owner" "Weekly market vendor" 5
"34" "Farmer org. leader" "Weekly market vendor" 2
"35" "Youth org. leader" "Weekly market vendor" 5
"36" "Local politican" "Weekly market vendor" 5
"37" "Other" "Weekly market vendor" 5
"38" "Farmers" "Urban vendor" 1
"39" "Neighbor/friend" "Urban vendor" 3
"40" "Weekly market vendor" "Urban vendor" 2
"41" "Urban vendor" "Urban vendor" 1
"42" "Vendor in agro-vet shop" "Urban vendor" 3
"43" "Teacher" "Urban vendor" 5
"44" "Religious leader" "Urban vendor" 3
"45" "Extension agent" "Urban vendor" 3
"46" "NGO agent" "Urban vendor" 5
"47" "Vet service provider" "Urban vendor" 5
"48" "Gvt parastatal" "Urban vendor" 5
"49" "Ag researcher" "Urban vendor" 3
"50" "Microfinance rep" "Urban vendor" 5
"51" "Farmer org. leader" "Urban vendor" 2
"52" "Youth org. leader" "Urban vendor" 3
"53" "Local politican" "Urban vendor" 2
"54" "Chief" "Vendor in agro-vet shop" 5
"55" "Neighbor/friend" "Vendor in agro-vet shop" 5
"56" "Weekly market vendor" "Vendor in agro-vet shop" 5
