,id,linenum,match_id,orig_id,value,var
0,,,234006.0,231001.0,4,
1,,,234018.0,231001.0,5,
2,,,234020.0,231002.0,1,
3,,,233010.0,231002.0,2,
4,,,231011.0,231006.0,1,
5,,,231002.0,231006.0,3,
6,,,234008.0,231008.0,1,
7,,,234014.0,231008.0,2,
8,,,236003.0,231010.0,3,
9,,,231001.0,231010.0,5,
10,,,231002.0,231011.0,1,
11,,,233011.0,231011.0,5,
12,,,231029.0,231014.0,4,
13,,,234005.0,231014.0,4,
14,,,233003.0,231015.0,5,
15,,,232005.0,231015.0,3,
16,,,231009.0,231018.0,4,
17,,,231012.0,231018.0,2,
18,,,234006.0,231021.0,4,
19,,,231019.0,231021.0,2,
20,,,231011.0,231022.0,2,
21,,,231006.0,231022.0,5,
22,,,237004.0,231023.0,3,
23,,,231039.0,231023.0,4,
24,,,237003.0,231028.0,4,
25,,,234017.0,231028.0,2,
26,,,231035.0,231032.0,5,
27,,,232002.0,231032.0,5,
28,,,231015.0,231035.0,3,
29,,,231022.0,231035.0,4,
30,,,232007.0,231036.0,1,
31,,,237004.0,231036.0,4,
32,,,231043.0,231041.0,1,
33,,,231021.0,231041.0,5,
34,,,232005.0,232002.0,4,
35,,,236001.0,232002.0,3,
36,,,237004.0,232004.0,5,
37,,,232006.0,232004.0,5,
38,,,234023.0,232005.0,2,
39,,,236002.0,232005.0,4,
40,,,231034.0,232006.0,2,
41,,,231007.0,232006.0,3,
42,,,231006.0,232007.0,1,
43,,,231020.0,232007.0,4,
44,,,232007.0,233004.0,3,
45,,,234009.0,233004.0,5,
46,,,237003.0,233008.0,4,
47,,,234014.0,233008.0,4,
48,,,233004.0,234001.0,4,
49,,,231029.0,234001.0,1,
50,,,234024.0,234002.0,2,
51,,,231010.0,234002.0,1,
52,,,231002.0,234004.0,5,
53,,,235001.0,234004.0,2,
54,,,234013.0,234005.0,1,
55,,,231016.0,234005.0,3,
56,,,237006.0,234006.0,3,
57,,,231014.0,234006.0,4,
58,,,235001.0,234007.0,1,
59,,,235003.0,234007.0,2,
60,,,231041.0,234008.0,1,
61,,,233007.0,234008.0,5,
62,,,234014.0,234009.0,3,
63,,,231002.0,234009.0,1,
64,,,233010.0,234010.0,4,
65,,,231008.0,234010.0,4,
66,,,231023.0,234011.0,4,
67,,,235001.0,234011.0,2,
68,,,236001.0,234012.0,3,
69,,,233010.0,234012.0,2,
70,,,231017.0,234013.0,2,
71,,,231041.0,234013.0,4,
72,,,231020.0,234016.0,2,
73,,,231007.0,234016.0,4,
74,,,231036.0,235002.0,5,
75,,,237005.0,235002.0,2,
76,,,231026.0,235003.0,2,
77,,,231017.0,235003.0,4,
78,,,231035.0,236001.0,1,
79,,,231039.0,236001.0,5,
80,,,234004.0,236003.0,1,
81,,,231012.0,236003.0,1,
82,,,234001.0,236004.0,2,
83,,,234010.0,236004.0,5,
84,,,235002.0,237005.0,5,
85,,,231015.0,237005.0,5,
86,,,234015.0,231001.0,1,
87,,,237004.0,231001.0,5,
88,,,234018.0,231002.0,4,
89,,,233003.0,231002.0,5,
90,,,233006.0,231006.0,5,
91,,,231008.0,231006.0,4,
92,,,233011.0,231008.0,4,
93,,,234024.0,231008.0,4,
94,,,232007.0,231009.0,3,
95,,,234005.0,231009.0,4,
96,,,235001.0,231011.0,5,
97,,,237005.0,231011.0,3,
98,,,231039.0,231014.0,5,
99,,,231017.0,231014.0,4,
100,,,231022.0,231015.0,1,
101,,,232007.0,231015.0,1,
102,,,231043.0,231016.0,5,
103,,,231003.0,231016.0,3,
104,,,231003.0,231018.0,4,
105,,,234024.0,231018.0,3,
106,,,231003.0,231019.0,1,
107,,,232004.0,231019.0,4,
108,,,234012.0,231021.0,1,
109,,,235003.0,231021.0,4,
110,,,231007.0,231022.0,3,
111,,,234017.0,231022.0,5,
112,,,234015.0,231024.0,4,
113,,,233011.0,231024.0,2,
114,,,231007.0,231026.0,3,
115,,,234015.0,231026.0,2,
116,,,231008.0,231028.0,1,
117,,,231002.0,231028.0,1,
118,,,234014.0,231029.0,5,
119,,,233008.0,231029.0,1,
120,,,232002.0,231032.0,3,
121,,,232002.0,231032.0,3,
122,,,234012.0,231034.0,5,
123,,,231010.0,231034.0,1,
124,,,235003.0,231036.0,2,
125,,,231010.0,231036.0,3,
126,,,234002.0,231039.0,4,
127,,,231010.0,231039.0,5,
128,,,234005.0,231041.0,4,
129,,,231007.0,231041.0,3,
130,,,237003.0,232002.0,4,
131,,,234022.0,232002.0,5,
132,,,234005.0,232003.0,3,
133,,,234015.0,232003.0,1,
134,,,232005.0,232004.0,5,
135,,,231011.0,232004.0,3,
136,,,233002.0,232005.0,1,
137,,,231009.0,232005.0,2,
138,,,236002.0,232006.0,2,
139,,,233008.0,232006.0,2,
140,,,233007.0,233002.0,3,
141,,,231006.0,233002.0,1,
142,,,234012.0,233004.0,2,
143,,,231003.0,233004.0,1,
144,,,234009.0,233008.0,2,
145,,,231029.0,233008.0,4,
146,,,231039.0,233009.0,1,
147,,,231028.0,233009.0,4,
148,,,231014.0,233010.0,4,
149,,,233008.0,233010.0,4,
150,,,233007.0,234001.0,3,
151,,,233009.0,234001.0,3,
152,,,231026.0,234002.0,4,
153,,,232002.0,234002.0,2,
154,,,234017.0,234004.0,3,
155,,,234023.0,234004.0,2,
156,,,234004.0,234005.0,3,
157,,,234018.0,234005.0,5,
158,,,233007.0,234006.0,2,
159,,,232005.0,234006.0,4,
160,,,231028.0,234008.0,5,
161,,,231036.0,234008.0,5,
162,,,233002.0,234009.0,3,
163,,,231011.0,234009.0,3,
164,,,233013.0,234010.0,3,
165,,,233006.0,234010.0,4,
166,,,231001.0,234011.0,4,
167,,,231022.0,234011.0,5,
168,,,235001.0,234012.0,1,
169,,,231018.0,234012.0,5,
170,,,231003.0,234013.0,4,
171,,,233002.0,234013.0,1,
172,,,234013.0,234016.0,4,
173,,,235002.0,234016.0,2,
174,,,231022.0,234022.0,1,
175,,,232006.0,234022.0,5,
176,,,231032.0,235001.0,5,
177,,,231021.0,235001.0,3,
178,,,234002.0,235002.0,5,
179,,,231028.0,235002.0,5,
180,,,231020.0,235003.0,2,
181,,,231039.0,235003.0,4,
182,,,231002.0,236001.0,1,
183,,,234006.0,236001.0,1,
184,,,231001.0,236002.0,1,
185,,,231002.0,236002.0,1,
186,,,236002.0,236003.0,3,
187,,,237006.0,236003.0,4,
188,,,231003.0,236004.0,3,
189,,,231019.0,236004.0,4,
190,,,231024.0,237003.0,4,
191,,,231029.0,237003.0,5,
192,,,236004.0,237004.0,5,
193,,,233006.0,237004.0,3,
194,,,231009.0,237005.0,5,
195,,,231041.0,237005.0,2,
196,,,234014.0,237006.0,5,
197,,,231023.0,237006.0,3,
198,,,231028.0,231011.0,4,
199,,,233011.0,231021.0,2,
200,,,231032.0,231024.0,1,
201,,,231010.0,231026.0,1,
202,,,234017.0,231028.0,4,
203,,,235001.0,231032.0,4,
204,,,231022.0,232002.0,5,
205,,,231007.0,232003.0,4,
206,,,231034.0,232004.0,4,
207,,,233002.0,232005.0,4,
208,,,233008.0,232007.0,2,
209,,,231017.0,233002.0,4,
210,,,231003.0,233004.0,2,
211,,,233006.0,233008.0,1,
212,,,236003.0,233009.0,5,
213,,,234024.0,234001.0,4,
214,,,231035.0,234002.0,4,
215,,,231029.0,234004.0,1,
216,,,234018.0,234005.0,4,
217,,,236004.0,234006.0,4,
218,,,231014.0,234008.0,5,
219,,,233010.0,234009.0,1,
220,,,237006.0,234011.0,4,
221,,,231003.0,234012.0,4,
222,,,231029.0,234013.0,4,
223,,,232004.0,234016.0,2,
224,,,233013.0,234022.0,5,
225,,,234020.0,235002.0,1,
226,,,234017.0,236001.0,5,
227,,,231028.0,236002.0,3,
228,,,234023.0,236003.0,5,
229,,,237006.0,236004.0,2,
230,,,231010.0,237003.0,4,
231,,,231024.0,237004.0,1,
232,,,232002.0,237005.0,1,
233,,,234014.0,237006.0,3,
234,,,233010.0,231001.0,3,
235,,,233002.0,231002.0,2,
236,,,231011.0,231006.0,1,
237,,,234009.0,231008.0,4,
238,,,234007.0,231010.0,4,
239,,,234011.0,231011.0,2,
240,,,231002.0,231014.0,1,
241,,,234005.0,231015.0,3,
242,,,234022.0,231018.0,1,
243,,,234012.0,231021.0,5,
244,,,234002.0,231022.0,4,
245,,,234018.0,231023.0,4,
246,,,237004.0,231028.0,1,
247,,,231011.0,231032.0,2,
248,,,233011.0,231035.0,3,
249,,,232007.0,231036.0,3,
250,,,234009.0,231041.0,1,
251,,,233008.0,232002.0,3,
252,,,233002.0,232004.0,1,
253,,,233006.0,232005.0,1,
254,,,235003.0,232006.0,3,
255,,,235001.0,232007.0,1,
256,,,236003.0,233004.0,2,
257,,,234023.0,233008.0,3,
258,,,231015.0,234001.0,1,
259,,,231028.0,234002.0,2,
260,,,233004.0,234004.0,3,
261,,,231008.0,234005.0,5,
262,,,237005.0,234006.0,1,
263,,,237006.0,234007.0,4,
264,,,232003.0,234008.0,3,
265,,,231017.0,234009.0,2,
266,,,231026.0,234010.0,1,
267,,,231005.0,234011.0,2,
268,,,234001.0,234012.0,2,
269,,,231007.0,234013.0,1,
270,,,233010.0,234016.0,5,
271,,,236001.0,235002.0,1,
272,,,237006.0,235003.0,2,
273,,,231019.0,236001.0,2,
274,,,231003.0,236003.0,1,
275,,,234014.0,236004.0,2,
276,,,233009.0,237005.0,2,
277,,,231009.0,231001.0,5,
278,,,234023.0,231002.0,5,
279,,,231008.0,231006.0,5,
280,,,237004.0,231008.0,1,
281,,,234008.0,231009.0,1,
282,,,231002.0,231011.0,3,
283,,,234020.0,231014.0,2,
284,,,234018.0,231015.0,2,
285,,,231012.0,231016.0,2,
286,,,231032.0,231018.0,4,
287,,,234013.0,231019.0,2,
288,,,234023.0,231021.0,5,
289,,,235001.0,231022.0,3,
290,,,232006.0,231024.0,4,
291,,,231021.0,231026.0,4,
292,,,231015.0,231028.0,3,
293,,,231003.0,231029.0,2,
294,,,231002.0,231032.0,1,
295,,,231014.0,231034.0,4,
296,,,232003.0,231036.0,1,
297,,,231041.0,231039.0,2,
298,,,237005.0,231041.0,4,
299,,,231041.0,232002.0,5,
300,,,231017.0,232003.0,2,
301,,,231003.0,232004.0,1,
302,,,236002.0,232005.0,1,
