,id,var,value
0,111003,111080,1
1,111003,111094,1
2,111008,111022,1
3,111008,111100,4
4,111009,111086,4
5,111009,111022,1
6,111017,111022,1
7,111017,111069,2
8,111023,111063,3
9,111023,111093,3
10,111026,111046,4
11,111026,111014,4
12,111027,111085,5
13,111027,111035,4
14,111029,111008,1
15,111029,111045,3
16,111037,111030,3
17,111037,111010,5
18,111048,111068,2
19,111048,111044,5
20,111057,111089,2
21,111057,111014,4
22,111074,111099,2
23,111074,111023,2
24,111079,111045,4
25,111079,111030,1
26,111080,111036,4
27,111080,111098,1
28,111084,111003,4
29,111084,111080,4
30,111088,111073,1
31,111088,111064,4
32,111099,111047,5
33,111099,111030,2
34,111001,111064,1
35,111001,111050,4
36,111003,111016,4
37,111003,111085,3
38,111005,111042,4
39,111005,111003,4
40,111011,111015,1
41,111011,111019,3
42,111013,111023,2
43,111013,111044,1
44,111014,111073,2
45,111014,111050,1
46,111015,111071,2
47,111015,111061,5
48,111016,111044,2
49,111016,111008,1
50,111020,111054,4
51,111020,111032,2
52,111021,111010,1
53,111021,111076,1
54,111022,111014,1
55,111022,111050,2
56,111029,111026,3
57,111029,111066,4
58,111037,111036,4
59,111037,111050,1
60,111043,111030,5
61,111043,111022,1
62,111048,111017,5
63,111048,111079,3
64,111052,111085,2
65,111052,111089,3
66,111053,111024,5
67,111053,111089,3
68,111054,111089,3
69,111054,111086,1
70,111055,111076,2
71,111055,111060,3
72,111056,111050,3
73,111056,111057,3
74,111057,111011,1
75,111057,111030,3
76,111058,111004,4
77,111058,111088,3
78,111061,111050,3
79,111061,111079,2
80,111063,111098,4
81,111063,111007,3
82,111064,111043,2
83,111064,111022,5
84,111066,111061,5
85,111066,111039,2
86,111069,111042,5
87,111069,111035,5
88,111073,111050,5
89,111073,111033,2
90,111074,111019,5
91,111074,111072,5
92,111076,111033,2
93,111076,111046,4
94,111077,111081,3
95,111077,111072,3
96,111079,111041,2
97,111079,111008,2
98,111083,111044,2
99,111083,111050,2
100,111085,111015,3
101,111085,111009,1
102,111086,111001,5
103,111086,111036,5
104,111087,111041,3
105,111087,111039,3
106,111089,111021,3
107,111089,111032,1
108,111091,111082,4
109,111091,111030,2
110,111093,111048,2
111,111093,111047,1
112,111094,111037,5
113,111094,111095,3
114,111095,111032,1
115,111095,111083,3
116,111098,111021,4
117,111098,111094,1
118,111003,111030,2
119,111008,111087,4
120,111009,111008,5
121,111017,111068,3
122,111023,111009,4
123,111026,111089,5
124,111027,111021,4
125,111029,111022,1
126,111037,111076,1
127,111048,111050,5
128,111057,111019,1
129,111074,111011,2
130,111079,111037,3
131,111080,111020,4
132,111084,111021,3
133,111088,111009,1
134,111099,111071,2
135,111001,111037,4
136,111003,111029,1
137,111005,111090,1
138,111011,111045,4
139,111013,111049,5
140,111014,111004,3
141,111015,111084,5
142,111016,111046,1
143,111020,111074,2
144,111021,111043,1
145,111022,111094,2
146,111029,111053,1
147,111037,111073,1
148,111043,111083,2
149,111048,111067,2
150,111052,111030,1
151,111053,111094,5
152,111054,111082,4
153,111055,111076,3
154,111056,111038,4
155,111057,111015,1
156,111058,111085,2
157,111061,111077,5
158,111063,111085,1
159,111064,111009,1
160,111066,111009,3
161,111069,111077,3
162,111073,111053,1
163,111074,111083,3
164,111076,111083,2
165,111077,111069,1
166,111079,111060,1
167,111083,111099,1
168,111085,111035,3
169,111086,111100,4
170,111087,111051,1
171,111089,111013,5
172,111091,111081,5
173,111093,111074,4
174,111094,111024,2
175,111095,111071,2
176,111098,111051,1
177,111001,111029,3
178,111003,111098,4
179,111008,111078,2
180,111011,111005,2
181,111013,111100,3
182,111019,111084,3
183,111021,111033,2
184,111022,111089,2
185,111023,111080,1
186,111026,111084,3
187,111030,111044,1
188,111031,111046,2
189,111041,111033,1
190,111043,111051,5
191,111044,111088,4
192,111045,111035,2
193,111053,111045,3
194,111054,111016,1
195,111074,111015,2
196,111078,111019,1
197,111082,111060,2
198,111083,111015,3
199,111085,111047,3
200,111087,111083,5
201,111089,111081,1
202,111093,111067,3
203,111099,111049,5
204,111101,111090,4
205,111008,111009,3
206,111010,111020,2
207,111011,111068,3
208,111014,111079,1
209,111019,111048,2
210,111027,111054,3
211,111031,111020,1
212,111033,111027,4
213,111052,111101,3
214,111066,111042,5
215,111074,111056,5
216,111077,111076,3
217,111081,111094,5
218,111090,111067,4
219,111005,111077,3
220,111007,111094,2
221,111009,111056,4
222,111013,111046,2
223,111014,111053,1
224,111017,111029,1
225,111018,111084,5
226,111019,111091,2
227,111020,111064,3
228,111021,111095,1
229,111022,111086,2
230,111033,111084,1
231,111035,111070,3
232,111038,111099,1
233,111044,111007,4
234,111046,111022,5
235,111049,111084,1
236,111053,111056,1
237,111060,111081,5
238,111067,111047,3
239,111068,111071,5
240,111070,111003,5
241,111071,111051,3
242,111072,111004,3
243,111074,111067,2
244,111080,111097,1
245,111081,111069,1
246,111088,111029,5
247,111089,111070,1
248,111090,111041,2
249,111091,111044,1
250,111092,111076,1
251,111100,111050,1
252,111101,111099,4
253,111064,111081,4
254,111086,111089,5
255,111004,111045,3
256,111007,111080,2
257,111017,111057,4
258,111018,111044,4
259,111024,111052,1
260,111029,111082,4
261,111031,111090,1
262,111032,111033,2
263,111035,111045,3
264,111047,111050,4
265,111048,111026,5
266,111054,111088,2
267,111055,111090,2
268,111056,111015,3
269,111060,111004,5
270,111064,111073,5
271,111066,111005,4
272,111067,111070,1
273,111068,111063,2
274,111070,111041,2
275,111071,111066,2
276,111072,111004,2
277,111077,111060,2
278,111078,111038,1
279,111079,111004,5
280,111080,111098,5
281,111081,111093,3
282,111082,111051,3
283,111084,111098,5
284,111086,111048,3
285,111087,111022,3
286,111089,111073,5
287,111092,111017,2
288,111095,111092,1
289,111097,111029,4
290,111098,111051,2
291,111100,111090,2
292,111005,111052,4
293,111014,111068,3
294,111016,111014,5
295,111017,111076,3
296,111018,111055,2
297,111019,111018,3
298,111024,111029,1
299,111031,111029,2
300,111032,111051,3
301,111036,111005,3
302,111038,111087,1
303,111060,111089,4
304,111070,111039,1
305,111071,111038,3
306,111077,111089,4
307,111078,111066,1
308,111080,111003,1
309,111081,111053,5
310,111082,111007,1
311,111091,111008,1
312,111007,111037,1
313,111008,111051,4
314,111011,111073,5
315,111013,111068,1
316,111014,111031,1
317,111015,111029,3
318,111017,111049,5
319,111031,111039,1
320,111037,111093,1
321,111038,111022,4
322,111039,111045,4
323,111042,111026,5
324,111043,111032,1
325,111044,111037,3
326,111046,111001,5
327,111047,111052,3
328,111048,111097,1
329,111049,111089,1
330,111050,111072,1
331,111051,111003,2
332,111053,111095,3
333,111056,111016,5
334,111057,111003,2
335,111063,111048,4
336,111066,111092,5
337,111067,111030,4
338,111068,111083,3
339,111069,111056,3
340,111070,111086,2
341,111071,111061,1
342,111072,111074,5
343,111074,111024,4
344,111081,111047,4
345,111084,111045,1
346,111086,111072,2
347,111088,111085,3
348,111090,111038,4
349,111093,111045,3
350,111074,111018,3
351,111031,111084,4
